fw,mver,lts,dst_name,ttr,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp
5020,2.2.1,27,ch-europe-north1.storage.googleapis.com,13.350783,4,142.250.186.80,176.57.191.107,ICMP,117.0,48,"[{'rtt': 0.844088}, {'rtt': 0.836993}, {'rtt': 0.8817919999999999}]",0,3,3,0.836993,0.8817919999999999,0.8542909999999999,50949595,1000518,2023-03-15 13:37:51,Ping,176.57.191.107,ping,50949595,,1678887471
5080,2.6.2,12,ch-europe-north1.storage.googleapis.com,22.449198,4,172.217.16.208,10.37.80.196,ICMP,115.0,48,"[{'rtt': 8.037138}, {'rtt': 7.937588}, {'rtt': 7.996933}]",0,3,3,7.937588,8.037138,7.990553,50949595,1001200,2023-03-15 13:37:50,Ping,45.91.92.191,ping,50949595,,1678887470
5020,2.2.1,4,ch-europe-north1.storage.googleapis.com,65.007328,4,216.58.212.240,45.128.160.112,ICMP,115.0,48,"[{'rtt': 34.671303}, {'rtt': 34.585689}, {'rtt': 34.668118}]",0,3,3,34.585689,34.671303,34.6417033333,50949595,1002099,2023-03-15 13:37:50,Ping,45.128.160.112,ping,50949595,,1678887471
5080,2.6.2,22,ch-europe-north1.storage.googleapis.com,43.548034,4,142.250.185.208,44.127.10.253,ICMP,119.0,48,"[{'rtt': 24.816249}, {'rtt': 24.926917}, {'rtt': 24.930937}]",0,3,3,24.816249,24.930937,24.8913676667,50949595,1002205,2023-03-15 13:37:50,Ping,44.127.10.253,ping,50949595,,1678887470
5080,2.6.2,12,ch-europe-north1.storage.googleapis.com,13.308441,4,142.250.74.80,62.168.128.56,ICMP,121.0,48,"[{'rtt': 3.35554}, {'rtt': 3.438096}, {'rtt': 3.451388}]",0,3,3,3.35554,3.451388,3.415008,50949595,1002210,2023-03-15 13:37:49,Ping,62.168.128.56,ping,50949595,,1678887470
5040,2.4.1,30,ch-europe-north1.storage.googleapis.com,89.292677,4,142.251.141.48,192.168.1.212,ICMP,119.0,48,"[{'rtt': 10.573087}, {'rtt': 10.547074}, {'rtt': 10.554748}]",0,3,3,10.547074,10.573087,10.558303,50949595,1002508,2023-03-15 13:37:50,Ping,89.46.240.55,ping,50949595,,1678887471
5020,2.2.1,13,ch-europe-north1.storage.googleapis.com,14.920939,4,172.217.168.208,145.220.6.37,ICMP,121.0,48,"[{'rtt': 0.806531}, {'rtt': 0.699894}, {'rtt': 0.6825209999999999}]",0,3,3,0.6825209999999999,0.806531,0.7296486667000001,50949595,1002765,2023-03-15 13:37:50,Ping,145.220.6.37,ping,50949595,,1678887471
5080,2.6.3,48,ch-europe-north1.storage.googleapis.com,133.957746,4,142.251.36.80,10.0.109.52,ICMP,119.0,48,"[{'rtt': 16.874811}, {'rtt': 16.792824}, {'rtt': 16.815997}]",0,3,3,16.792824,16.874811,16.827877333300002,50949595,1002776,2023-03-15 13:37:50,Ping,88.212.34.23,ping,50949595,,1678887470
5020,2.3.2,31,ch-europe-north1.storage.googleapis.com,5066.655189,4,173.194.76.128,185.198.70.19,ICMP,110.0,48,"[{'rtt': 15.880965}, {'rtt': 15.886373}, {'rtt': 15.917152}]",0,3,3,15.880965,15.917152,15.89483,50949595,1002803,2023-03-15 13:37:55,Ping,185.198.70.19,ping,50949595,,1678887476
5040,2.4.1,10,ch-europe-north1.storage.googleapis.com,5077.622922,4,142.250.74.80,84.50.66.16,ICMP,57.0,48,"[{'rtt': 8.657724}, {'rtt': 8.62089}, {'rtt': 8.597402}]",0,3,3,8.597402,8.657724,8.6253386667,50949595,1002830,2023-03-15 13:37:55,Ping,84.50.66.16,ping,50949595,,1678887475
