fw,lts,ttr,af,ttl,size,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,group_id,stored_timestamp
5020,27,13.350783,4,117.0,48,0,3,3,0.836993,0.8817919999999999,0.8542909999999999,50949595,1000518,2023-03-15 13:37:51,50949595,1678887471
5080,12,22.449198,4,115.0,48,0,3,3,7.937588,8.037138,7.990553,50949595,1001200,2023-03-15 13:37:50,50949595,1678887470
5020,4,65.007328,4,115.0,48,0,3,3,34.585689,34.671303,34.6417033333,50949595,1002099,2023-03-15 13:37:50,50949595,1678887471
5080,22,43.548034,4,119.0,48,0,3,3,24.816249,24.930937,24.8913676667,50949595,1002205,2023-03-15 13:37:50,50949595,1678887470
5080,12,13.308441,4,121.0,48,0,3,3,3.35554,3.451388,3.415008,50949595,1002210,2023-03-15 13:37:49,50949595,1678887470
5040,30,89.292677,4,119.0,48,0,3,3,10.547074,10.573087,10.558303,50949595,1002508,2023-03-15 13:37:50,50949595,1678887471
5020,13,14.920939,4,121.0,48,0,3,3,0.6825209999999999,0.806531,0.7296486667000001,50949595,1002765,2023-03-15 13:37:50,50949595,1678887471
5080,48,133.957746,4,119.0,48,0,3,3,16.792824,16.874811,16.827877333300002,50949595,1002776,2023-03-15 13:37:50,50949595,1678887470
5020,31,5066.655189,4,110.0,48,0,3,3,15.880965,15.917152,15.89483,50949595,1002803,2023-03-15 13:37:55,50949595,1678887476
5040,10,5077.622922,4,57.0,48,0,3,3,8.597402,8.657724,8.6253386667,50949595,1002830,2023-03-15 13:37:55,50949595,1678887475
5040,5,12.385945,4,118.0,48,0,3,3,77.803259,77.979986,77.8693256667,50949595,1002876,2023-03-15 13:37:50,50949595,1678887471
5030,111,16.757983,4,56.0,48,0,3,3,13.627334,13.666898,13.6427723333,50949595,1002900,2023-03-15 13:37:50,50949595,1678887470
5030,4,11.5345,4,114.0,48,0,3,3,31.378644,31.449497,31.406089,50949595,1003060,2023-03-15 13:37:50,50949595,1678887471
5040,17,199.846259,4,114.0,48,0,3,3,36.359323,36.44084,36.394737,50949595,1003302,2023-03-15 13:37:50,50949595,1678887471
5040,35,10.942121,4,122.0,48,0,3,3,6.739245,6.775163,6.7617803333,50949595,1003335,2023-03-15 13:37:50,50949595,1678887470
5040,15,5028.015222,4,116.0,48,0,3,3,6.666722,7.761022,7.0839816667,50949595,1003418,2023-03-15 13:37:55,50949595,1678887476
5080,66,166.789303,4,118.0,48,0,3,3,19.811053,22.362414,20.8791953333,50949595,1003553,2023-03-15 13:37:50,50949595,1678887470
