fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp
5020,2.2.1,28,45.91.124.33,4,45.91.124.33,192.168.55.2,ICMP,52.0,48,"[{'rtt': 179.9721}, {'rtt': 178.93475}, {'rtt': 184.085613}]",0,3,3,178.93475,184.085613,180.9974876667,53759714,1000484,2023-05-15 18:49:17,Ping,102.135.245.208,ping,53759714,,1684176558
5080,2.6.2,58,45.91.124.33,4,45.91.124.33,10.40.40.102,ICMP,55.0,48,"[{'rtt': 38.14056}, {'rtt': 38.140848}, {'rtt': 38.114713}]",0,3,3,38.114713,38.140848,38.1320403333,53759714,1000583,2023-05-15 18:49:18,Ping,51.174.17.128,ping,53759714,,1684176558
5030,2.4.0,45,45.91.124.33,4,45.91.124.33,10.1.1.98,ICMP,49.0,48,"[{'rtt': 115.778055}, {'rtt': 115.541523}, {'rtt': 115.511246}]",0,3,3,115.511246,115.778055,115.6102746667,53759714,1003161,2023-05-15 18:49:17,Ping,174.130.69.103,ping,53759714,,1684176558
5040,2.4.1,42,45.91.124.33,4,45.91.124.33,192.168.1.85,ICMP,56.0,48,"[{'rtt': 20.525502}, {'rtt': 20.367706}, {'rtt': 20.666381}]",0,3,3,20.367706,20.666381,20.519863,53759714,1003708,2023-05-15 18:49:17,Ping,87.212.207.240,ping,53759714,,1684176557
5080,2.6.3,30,45.91.124.33,4,45.91.124.33,192.168.1.66,ICMP,52.0,48,"[{'rtt': 13.18951}, {'rtt': 12.628339}, {'rtt': 12.732268}]",0,3,3,12.628339,13.18951,12.850039,53759714,1004260,2023-05-15 18:49:17,Ping,109.190.212.11,ping,53759714,,1684176558
5080,2.6.2,4,45.91.124.33,4,45.91.124.33,192.168.50.120,ICMP,49.0,48,"[{'rtt': 304.462053}, {'rtt': 304.487616}, {'rtt': 304.691877}]",0,3,3,304.462053,304.691877,304.547182,53759714,11172,2023-05-15 18:49:18,Ping,222.153.106.193,ping,53759714,,1684176559
5080,2.6.2,57,45.91.124.33,4,45.91.124.33,192.168.128.251,ICMP,51.0,48,"[{'rtt': 31.634012}, {'rtt': 32.717106}, {'rtt': 30.181218}]",0,3,3,30.181218,32.717106,31.5107786667,53759714,11174,2023-05-15 18:49:18,Ping,86.19.56.155,ping,53759714,,1684176558
5080,2.6.2,45,45.91.124.33,4,45.91.124.33,192.168.178.31,ICMP,54.0,48,"[{'rtt': 32.697458}, {'rtt': 32.157938}, {'rtt': 32.003687}]",0,3,3,32.003687,32.697458,32.286361,53759714,11176,2023-05-15 18:49:17,Ping,78.35.194.56,ping,53759714,,1684176558
5080,2.6.2,3,45.91.124.33,4,45.91.124.33,192.168.0.144,ICMP,51.0,48,"[{'rtt': 25.270426}, {'rtt': 25.976124}, {'rtt': 25.627663}]",0,3,3,25.270426,25.976124,25.6247376667,53759714,11179,2023-05-15 18:49:19,Ping,81.100.208.187,ping,53759714,,1684176559
5080,2.6.2,3,45.91.124.33,4,45.91.124.33,172.16.0.45,ICMP,52.0,48,"[{'rtt': 153.257928}, {'rtt': 153.372822}, {'rtt': 153.389972}]",0,3,3,153.257928,153.389972,153.3402406667,53759714,11180,2023-05-15 18:49:16,Ping,190.111.120.51,ping,53759714,,1684176559
